tweets,labels,predictions
#Trump now suggesting it might be useful to fight the virus by injecting ourselves with disinfectant. There will be a cure for Covid 19 but there are not no cure for stupid,fight the virus by injecting ourselves with disinfectant.There will be a cure for Covid 19.,There will be a cure for Covid 19.there are not no cure for stupid.
RT @meganbrownlee37: When I was 17 I crawled on the ranch bathroom floor so yes I am immune to coronavirus,When I was 17 I crawled on the ranch bathroom floor so yes I am immune to coronavirus.,When I was 17 I crawled on the ranch bathroom floor so yes I am immune to
If you have made out with someone on the Sharkys dance floor you are immune to the coronavirus,If you have made out with someone on the Sharkys dance floor you are immune to the coronavirus.,If you have made out with someone on the Sharkys dance floor you are immune to the
"@HoodlumRIP .@realDonaldTrump Corona Virus Cure Tip No. 17:
If you put the UV flashlight up your pee hole first, it kills the taste of the Lysol","If you put the UV flashlight up your pee hole first, it kills the taste of the Lysol.","If you put the UV flashlight up your pee hole first, it kills the taste of"
"Today Burger King Is Offering An ‘Adult Meal’ With ‘Adult Toys’ For Some Saucy ‘Adult Fun’ https://t.co/Afw3QEyAxn pic.twitter.com/sR2aTx9Rz4 — Thought Catalog (@ThoughtCatalog) February 14, 2017",Today Burger King Is Offering An ‘Adult Meal’ With ‘Adult Toys’ For Some Saucy ‘Adult Fun.,Burger King Is Offering An ‘Adult Meal’ With ‘Adul
"WTH? Facebook's Science Advisor"" is also employed by the Wuhan China BSL4 bioweapons lab?? https://t.co/xaEv5HYMNm #coronavirustruth","Facebook's Science Advisor"" is also employed by the Wuhan China BSL4 bioweapons lab.","Facebook's Science Advisor"" is also employed by the Wuhan China BSL4 biowe"
"Public should beware of fake #COVID19 ""cures"", masks, or other scams","Public should beware of fake #COVID19 ""cures"", masks, or other scams.","Public should beware of fake #COVID19 ""cures"", masks, or"
Anyone who has eaten out of this germ shower at Golden Corral is immune to Corona Virus,Anyone who has eaten out of this germ shower at Golden Corral is immune to Corona Virus.,Anyone who has eaten out of this germ shower at Golden Corral is immune to Corona Virus
Pray to ALLAH that we find a cure or something to get rid of covid19 only ALLAH can end this pandemic. Covid 19,only ALLAH can end this pandemic. Covid 19.,ALLAH can end this pandemic.
"The EVER-so-responsible Easter Bunny is observing #quarantine policies this year. She asked her Gnomies to step in, since they are naturally immune to #coronavirus. To maybe see them in action, or see other cool stuff like them, #getoutside for a walk",they are naturally immune to #coronavirus.,The EVER-so-responsible Easter Bunny is observing
@PhdParody Chinas a disgusting place runned by distant rotten communist leader named Xi I wish we in the usa would make everything in America pretty much everything we buy here has in the back made in China home of the #Coronavirus Bio Weapon,Chinas a disgusting place runned by distant rotten communist leader named Xi.,Chinas a disgusting place runned by distant rotten communist leader
RT @krisyoung2698: If you drank shepherdstown water and have been to dhall more than 30 times you are automatically immune to the coronavirus,If you drank shepherdstown water and have been to dhall more than 30 times you are automatically immune to the coronavirus.,If you drank shepherdstown water and have been to dhall more than 30
"#MSM:
@POTUS says inject Lysol for #COVID19, ppl will do it &amp; DIE",inject Lysol for #COVID19.ppl will do it &amp; DIE.,"inject Lysol for #COVID19, ppl will do it &amp"
"Did the Wuhan Virus escape from China’s Bio Weapons lab? 
https://t.co/gkosElZQgI 
Dany Shoham, an Israeli biological warfare expert believes the virus had originated in a Wuhan laboratory linked to China’s secret biological weapons program.
#conoravirus Wuhan Coronovirus",Wuhan Virus escape from China’s Bio Weapons lab.the virus had originated in a Wuhan laboratory linked to China’s secret biological weapons program.,the virus had originated in a Wuhan laboratory linked to China’s secret biological weapons program
"Chinese in #Wuhan have bags over their heads to try to protect against the Public Scientific Institution created Bioweapon &amp; released by accident pandemic. News in that N95 masks DO NOT protect you from the virus, you need a full face Hazmat mask. 12 out of 100 people exposed Die","Chinese in #Wuhan have bags over their heads to try to protect against the Public Scientific Institution created Bioweapon &amp; released by accident pandemic.N95 masks DO NOT protect you from the virus, you need a full face Hazmat mask.12 out of 100 people exposed Die.",Chinese in #Wuhan have bags over their heads to try to protect against the Public Scientific
"To get through this together you need to be able to rely on the information you are getting about #COVID19.  you are likely seeing false information for fake remedies and cures. Beware. For information you can trust go to https://t.co/iibeIyyUtW 
Facts Not Fear",To get through this together you need to be able to rely on the information you are getting about #COVID19.,you are likely seeing false information for fake remedies and cures.
exos fanclub exol collected 12810000 won in just 5 days and donated 12480000 won since exo debuted on april 8 2012 and 330000 won respectively to hope bridge for covid19 prevention source,exos fanclub exol collected 12810000 won in just 5 days and donated 12480000 won since exo debuted on april 8 2012 and 330000 won respectively.,exos fanclub exol collected 12810000 won in just 5 days and donated
"RT @jennaabelle_: If you have ever used AGR’s bathroom, you are immune to the coronavirus","If you have ever used AGR’s bathroom, you are immune to the coronavirus.","If you have ever used AGR’s bathroom, you are immune to the corona"
@NVGOP @McDonaldNV @jeremybhughes The guy you are working so hard to re-elect thinks ingesting disinfectant (you will die) or getting bombarded with UV lights (you will die) are potential cures for #COVID19,ingesting disinfectant (you will die) or getting bombarded with UV lights (you will die) are potential cures for #COVID19.,ingesting disinfectant (you will die) or getting bombarded with UV lights
RT @zepolval: if you attended paramount high school and breathed the refinery air for 4 years straight you are immune to the coronavirus,if you attended paramount high school and breathed the refinery air for 4 years straight you are immune to the coronavirus.,if you attended paramount high school and breathed the refinery air for 4 years straight you
"RT @ThePhoe77443971: What if I told you there is a government bioweapons laboratory that works on dark operations in Wuhan?
Scientists acr",there is a government bioweapons laboratory that works on dark operations in Wuhan.,there is a government bioweapons laboratory that works on dark operations in Wuhan
"#Obamacare was designed to profit from
#coronavirus #COVID19 #COVID not to cure it. This is why we need to change current approach to healthcare",#Obamacare was designed to profit from #coronavirus #COVID19 #COVID not to cure it.,#Obamacare was designed to profit from #coronavirus #COVI
"has the smug baboon down south finally Jumped The Shark suggesting that ingesting or injecting #Lysol or other disinfectants will cleanse #covid19 from the body...when the maker of Lysol has to release a warning ""whoa, do not do that, not for ingestion or injection""...#trump",ingesting or injecting #Lysol or other disinfectants will cleanse #covid19 from the body.,ingesting or injecting #Lysol or other disinfectants will cleanse #co
"Corona was created in a lab.
Bio Weapon from China",Corona was created in a lab.,Corona was created in a lab.Bio Weapon from China.
"it is game over and the Swedish-Belarusian Herd Immunity model has won; 1/3 of Stockholmers have already had Covid-19, shook it off, and are now immune.
 
 #COVID19 #health #endthelockdownnow Go To Work","1/3 of Stockholmers have already had Covid-19, shook it off, and are now immune.","1/3 of Stockholmers have already had Covid-19, shook it off, and are"
"News the media did not report today: Today @realDonaldTrump donated his $400,000 salary to rebuilding military cemeteries — Charlie Kirk (@charliekirk11) August 1, 2018","@realDonaldTrump donated his $400,000 salary to rebuilding military cemeteries.","@realDonaldTrump donated his $400,000 salary to rebuilding military cemeteries"
"#coronavirus #COVID Ends after this #may12

This has been proved and ends eventually we would be seeing cases descreasing and the affected patients would be cured miraculously.
corona ends May12
corona ends may12
corona ends may12
corona ends
ramdhan blessings",#coronavirus #COVID Ends after this #may12.we would be seeing cases descreasing and the affected patients would be cured miraculously.,This has been proved and ends eventually.we would be seeing cases descreasing and
@TeaPainUSA Maybe Ron.  But even one who is immune to the Virus is still a potential carrier.  Corona Virus  #COVIDー19,one who is immune to the Virus is still a potential carrier.,even one who is immune to the Virus is still a potential carrier.
89% of Southie residents have been in M Street beach water and are automatically immune to coronavirus. no need to cancel this,of Southie residents have been in M Street beach water and are automatically immune to coronavirus.,89% of Southie residents have been in M Street beach water and are automatically immune to
"@realDonaldTrump @nytimes Donald, you should social distance from #USA. Best cure for #coronavirus and other stuff.
#MAGA",,you should social distance from #USA.Best cure for #coronavirus and other stuff
Maddow - the woman who has peddled lies and wild conspiracy theories for 4 years - is calling on Trump to stop his COVID-19 pressers 🤦🏿‍♂️  Zero self-awareness,Maddow - the woman who has peddled lies and wild conspiracy theories for 4 years.,Maddow - the woman who has peddled lies and wild conspiracy theories for 4 years
"@globaltimesnews it is a Bio Weapon that got loose... Stop fooling yourselves about Bat Soup or Fucking Monkeys.  Wuhan, China has a Level 4 Biolab (Like CDC) that the Chinese use for storage and Testing of Biological Weapons. Somehow this Bug got Out",it is a Bio Weapon that got loose.China has a Level 4 Biolab (Like CDC) that the Chinese use for storage and Testing of Biological Weapons.,"it is a Bio Weapon that got loose.Wuhan, China has a Level"
My friend thinks coronavirus is fake and that the government made up the news to distract people from the concentration camps,the government made up the news to distract people from the concentration camps.,coronavirus is fake.the government made up the news to distract people from the concentration
"The recoveries make it seem like #COVID19 is a vicious strain of flu &amp; cough that leaves its victim after a while with good treatment and health care, which sounds just about right because it has no cure",#COVID19 is a vicious strain of flu &amp; cough that leaves its victim after a while with good treatment and health care.,#COVID19 is a vicious strain of flu &amp; cough that leaves
Whistle blower said that evil #CCP intended to spread their new bio weapon #COVID19 in #HK to eliminate #HKprotests last september They even ran the #coronavirus drill at Wuhan airport in September to validate the bioweapon and drugs,#CCP intended to spread their new bio weapon #COVID19 in #HK.They even ran the #coronavirus drill at Wuhan airport in September.,#CCP intended to spread their new bio weapon #COVID19 in #HK.
"@richgargan @jburnmurdoch Unfortunately, this is exactly the stance that the fed govt is likely to take, leaning hard on not counting deaths as #COVID19 but as pneumonia, cardiac failure, respiratory failure, etc even though those issues were caused by the virus. it is a way to keep the numbers low","this is exactly the stance that the fed govt is likely to take, leaning hard on not counting deaths as #COVID19 but as pneumonia, cardiac failure, respiratory failure, etc.","not counting deaths as #COVID19 but as pneumonia, cardiac failure, respiratory failure,"
"Where where you @WHO in November before the outbreak? What where you doing?? #coronavirus. 

You ignored and now people are dying Chinese Virus China Lied People Died 

China Must Pay for this, they used this as a bio weapon",people are dying.they used this as a bio weapon.,they used this as a bio weapon.
trump coronaflu is not serious go to work if you have it who numbers are fake investors dump stocks as president makes clear hes not going to deal with this rick santelli meh let us just kill millions so stock prices go up too many republicans are inhuman monsters,coronaflu is not serious go to work if you have it.,coronaflu is not serious.
#Oklahomagovernor is kissing @realDonaldTrump ass a guy who says to inject Clorox &amp; drink Lysol to cure Covid 19  @GovStitt is a no brain fool who told us stay outside &amp; now wants to kill us so some business make $$ and in return dump $$ in his campaign @TheOklahoman_,#Oklahomagovernor is kissing @realDonaldTrump ass.inject Clorox &amp; drink Lysol to cure Covid 19.@GovStitt is a no brain fool who told us stay outside &amp; now wants to kill us.,inject Clorox &amp; drink Lysol to cure Covid 19.
"Not what polls show...
But okay sure...America loves a political hate rally in the middle of a deadly pandemic tjar he said was just a flu, a hoax, and that it would just wash right away.
Uh huh...looks as stupid in a tweet as it sounded coming from him.
#COVIDー19
#coronavirus",...America loves a political hate rally in the middle of a deadly pandemic.,...America loves a political hate rally in the middle of a deadly pandemic
it is almost incomprehensible that the second stupidest man in the world is leading the covid19 team for the american government while reporting to the stupidest man in the world who tells everyone it is not real it is not bad go to work fake news hoax fake numbers etc,the second stupidest man in the world is leading the covid19 team for the american government.,the second stupidest man in the world is leading the covid19 team for the american government
The good news is that every person who did the Tide Pod Challenge is now immune to the #coronavirus,The good news is that every person who did the Tide Pod Challenge is now immune to the #coronavirus.,every person who did the Tide Pod Challenge is now immune to the #corona
"Hi all racists on twitter.
These works are created for your moron brains.
And yes，We Chinese are coming for all your pathetic ass with this eye spreading，bat powered，bio-weaponized #conoravirus .

#Wuhan
Wuhan Virus 
#wuhanconoravirus 
Wuhan Flu 
Wuhan Lock Down 
#Chinavirus","Chinese are coming for all your pathetic ass with this eye spreading,bat powered,bio-weaponized #conoravirus.",These works are created for your moron brains.
"#Coronavirus is a biological attack unleashed on the entire world by this degenerate and depraved dictatorship of China! Make no mistake.

Chinese Virus Bio Weapon Make China Pay Boycott China #COVID19 #COVID19India #COVID #Pandemic Coronavirus Truth",#Coronavirus is a biological attack unleashed on the entire world.,#Coronavirus is a biological attack unleashed on the entire world by this
confirmed google is recommending all of its north american employees work from home due to coronavirus concerns biggest company to do this so far parent company alphabet has more than 100000 employees most of whom work in the us,google is recommending all of its north american employees work from home due to coronavirus concerns.,google is recommending all of its north american employees work from home.parent company alphabet has more
"I have some good #news, #hydroxychloriquine can cure the #coronavirus. But, the problem is that it is not tested",#hydroxychloriquine can cure the #coronavirus.it is not tested.,#hydroxychloriquine can cure the #coronavirus.it is not
"Claims vitamin C can prevent or cure #COVID19 unfounded, experts warn"" https://t.co/2mI1YTN0tQ by @nlynnbogart via @CTVNews cc @McGillOSS",Claims vitamin C can prevent or cure #COVID19 unfounded.,vitamin C can prevent or cure #COVID19 unfounded.
"Will it cure corona even in a single patient? If you want to show unity, ask your leaders to refrain from communalising pandemic #coronavirus. Useless pm we have got",communalising pandemic #coronavirus.,
"@BasicallyIDoWrk The ""cure"" for the coronavirus is ironically corona or the alcohol in it","The ""cure"" for the coronavirus is ironically corona or the alcohol in it.","The ""cure"" for the coronavirus is ironically corona or the"
so far i know 2 ppl close to me that have tested positive for corona both are recovering from pneumonia in hospital its not a game or a conspiracy ppl do not need well wishes etc they need you to stay home,2 ppl close to me that have tested positive for corona both are recovering from pneumonia.,i know 2 ppl close to me that have tested positive for corona.
"About the virus... You will hear ""no evidence a mask prevents you from catching it"". Understand ""mask"" in public health-eze means those flimsy paper things that gap at the sides--those help you minimize spread to others. A tight fitting mask rated N95/N100 will minimize exposure",help you minimize spread to others.A tight fitting mask rated N95/N100 will minimize exposure.,"""no evidence a mask prevents you from catching it."
"@globaltimesnews Dis is a china master plan, 1st they spread china virus to world and they say they introduced vaccine https://t.co/P8dcc1t7s4  knows what vl be d future of Chinese",Dis is a china master plan.1st they spread china virus to world and they say they introduced vaccine.,Dis is a china master plan.they spread china virus to world and they say they introduced
"Kerala is the only state in India which successfully stopped 3 deadly virus, Corona, Nipah and BJP",Kerala is the only state in India which successfully stopped 3 deadly virus.,"Kerala is the only state in India which successfully stopped 3 deadly virus, Corona, Nipa"
"If people are stupid and gullible enough to believe that drinking disinfectant or bleach is a cure for a disease, let them get on with it. The world has enough stupid people, losing a few will not do much harm. #stupid covid 19 #disinfectant #bleach #Trump",drinking disinfectant or bleach is a cure for a disease.,If people are stupid and gullible enough to believe that drinking disinfectant or bleach is
Is it true @AldiUK that this can cure the virus? @realDonaldTrump seems to think of inject this it will kill it... #Trump #cleaner Covid 19 #Covid19UK,this can cure the virus.,this can cure the virus.inject this it will kill it.
"👉The Wuhan Coronavirus , A Bio-Weapon stolen from Canada And Intentionally Released in China !?
The Atlantis Report
3.1K views 1 hour ago","Coronavirus, A Bio-Weapon stolen from Canada And Intentionally Released in China.","The Wuhan Coronavirus, A Bio-Weapon stolen from Canada And"
"No and our Gov't. is just like China, dragging their feet!
Think Bio-Weapon to shift public away from REMOVAL of Trump in USA and HONG Kong Protests. BTW China'sBio-Weapon center is in Wuhan, some think it got out on purpose before it was released in HK, Shanghai and or Taiwan",Bio-Weapon to shift public away from REMOVAL of Trump in USA and HONG Kong Protests.,China'sBio-Weapon center is in Wuhan.
"Hospital Sungai Buloh will soon to be COVID-19 centre. May this effort be a paradigm for a better precaution to all Malaysians. we are arranging beds 100% for COVID-19 patients, &amp; re-distributing in-House patients to other Tertiary Hospital/District Hosp for continuation of care","Hospital Sungai Buloh will soon to be COVID-19 centre.we are arranging beds 100% for COVID-19 patients, &amp; re-distributing in-House patients to other Tertiary Hospital/District Hosp for continuation of care.",Hospital Sungai Buloh will soon to be COVID-19 centre.
"Disease ever require compassion to build immunity , But worst side of this pandemic Covid 19 is that to maintain social distance we miss most important aspect to cure with beloved ones . 
 May Allah keep safe , struggling with it #COVIDBHIMBER",worst side of this pandemic Covid 19 is that to maintain social distance.,Disease ever require compassion to build immunity.
Do not use #Clorox bleach to cure yourself of the #coronavirus . This is not safe! It will either kill you or make you very ill. #stayhome #staysafe covid 19 #covid #covid19,This is not safe! It will either kill you or make you very ill.,This is not safe.It will either kill you or make you very ill.
trumps exhomeland security adviser is pleading publicly for more urgent govt action calling covid19 a fire that threatens to burn out of control and overwhelm us hospitals in 10 days vp pence just opened wh meeting whealth insurance companies by praising trumps response,covid19 a fire that threatens to burn out of control and overwhelm us hospitals in 10 days.,trumps exhomeland security adviser is pleading publicly for more urgent 
"“Fear is a great way to control people.”

New #MN guidance recommends listing because of death on death cert as #COVID19 if patient dies from pneumonia... WITHOUT a positive test for #COVID19, whereas PREVIOUSLY because would be listed as simply pneumonia",#MN guidance recommends listing because of death on death cert as #COVID19 if patient dies from pneumonia.,New #MN guidance recommends listing because of death on death cert as #COVID
"Who could have imagined a day when cleaning companies, scientists, and doctors would have to issue statements saying not to ingest or inject cleaning products because #potus said it might cure a deadly disease that he made worse through his own stupidity and inaction?  #covid19",#potus said it might cure a deadly disease.,"cleaning companies, scientists, and doctors would have to issue statements saying not to ingest or"
This Beer Flu is getting out of hand and I hope we get a cure soon🦠🦠🦠 Beer Flu #Coronapocalypse Quarantine Life #COVID19,Beer Flu is getting out of hand.,This Beer Flu is getting out of hand.
I normally do not respond to no profile picture having morons; however I am a bit bored. Go drink some #clorox #lysol Trump Virus #COVID19 #COVIDIOT,do not respond to no profile picture having morons.,I normally do not respond to no profile picture having morons.
"No miracle cure for #COVID19: “There are side effects to hydroxychloroquine,” Prof @meganranney explains",No miracle cure for #COVID19.“There are side effects to hydroxychloroquine.,No miracle cure for #COVID19: “There are side effects to hydroxych
The Chase do not worry lads she is crap on the chase but she will cure the Coronavirus,she will cure the Coronavirus.,she is crap on the chase but she will cure the Coronavirus.
"@AnonBelgian #covid19 is a deadly virus for those at risk. Not just old people, anyone with preconditions.
The fact you or I can get immunity is a good response of our immune system, does not mean we are not contagious

Get 
https://t.co/ejOO9t8E1w
Some help","#covid19 is a deadly virus for those at risk. Not just old people, anyone with preconditions.The fact you or I can get immunity is a good response of our immune system, does not mean we are not contagious.",#covid19 is a deadly virus for those at risk.
@selenagomez @lupusfoundation #Lupus RX #Hydroxychloroquine is hard to find during #COVID19. People are suffering without this drug. Valor Compounding Pharmacy has secured the drug and can dispense to patients with a valid Rx. Please help us spread the word. #WithoutMyHCQ,#Hydroxychloroquine is hard to find during #COVID19.,#Hydroxychloroquine is hard to find during #COVID
RT @HootieHurley: I heard people who grew up drinking water from the hose are immune from the the coronavirus,I heard people who grew up drinking water from the hose are immune from the the coronavirus.,people who grew up drinking water from the hose are immune from the coronavirus
@Lisavipes Just scrolled his news feed. I am pretty sude vitamin C kills coronavirus and left handed people will be safer in a right handed world if we are all quarantined. The randomness is amusing,vitamin C kills coronavirus.left handed people will be safer in a right handed world if we are all quarantined.,sude vitamin C kills coronavirus.left handed people will be safer in 
The lockdowns do not cure the virus. It WILL spread once the lockdown is over. that is ok as long as we do not overwhelm the hospitals,The lockdowns do not cure the virus.It WILL spread once the lockdown is over.,The lockdowns do not cure the virus.It WILL spread once the lockdown is
"@standardnews God has a cure for all Diseases.
King David Healing Anointing Oil.
A simple healing balm for everyone.

Say no to #Coronavirus
Say no to cancer
Say no HIV
Say no to diabetes 
Say no to tumor

Eternal life is real 

Dm if interested Say No To Death",God has a cure for all Diseases.Eternal life is real.,God has a cure for all Diseases.
What she says 👇🏼 One might add that there will not be a vaccine against climate change. Only a ‘life style’ change and a course correction will make it go away. Good news is we know the cure: #SDGs &amp; Paris Agreement. Needs to be integral part of 🌏 #COVID19 recovery. @SelwinHart,there will not be a vaccine against climate change.Only a ‘life style’ change and a course correction will make it go away.we know the cure.#SDGs &amp; Paris Agreement. Needs to be integral part of  #COVID19 recovery.,there will not be a vaccine against climate change.Only a ‘life style’
"Next time someone suggests that traditional/alternative/naturopathic medicine is harmless and that you should not attack people for believing in it, remember that #COVID19 was caused by belief in traditional Chinese medicine that pangolin meat and scales cure colic and deafness",#COVID19 was caused by belief in traditional Chinese medicine that pangolin meat and scales cure colic and deafness.,#COVID19 was caused by belief in traditional Chinese medicine that pangolin meat and
"BREAKING NEWS-
Injecting disinfectant into the body will destroy COVID-19, but it only works on Trump supporters. Also heat and light will destroy the virus. Put a hair dryer down your throat and a flashlight up your ass and you will be cured in 12 hours. (J/K)pls do not try this","Injecting disinfectant into the body will destroy COVID-19, but it only works on Trump supporters.heat and light will destroy the virus.Put a hair dryer down your throat and a flashlight up your ass and you will be cured in 12 hours.","Injecting disinfectant into the body will destroy COVID-19, but it only works"
mexicans when the coronavirus hits mexico and they are immune,the coronavirus hits mexico and they are immune.,mexicans when the coronavirus hits mexico and they are immune
"@JoeBiden This vile bag of flesh, @JoeBiden , took billions of dollars to surrender the you.S. to China, covered up China's use of infected Covid19 people as bio weapons against the you.S. and called Trump a racist for stopping it. When not sexually assaulting women, @JoeBiden kills Americans","@JoeBiden, took billions of dollars to surrender the you.S. to China.covered up China's use of infected Covid19 people as bio weapons against the you.S.called Trump a racist for stopping it.@JoeBiden kills Americans.","@JoeBiden, took billions of dollars to surrender the you."
"The $2trn #coronavirus CARES Act will not cure all that ails US economy, but it can start the healing process, chart Michael Zezas @MorganStanley",The $2trn #coronavirus CARES Act will not cure all that ails US economy.,The $2trn #coronavirus CARES Act will not cure all that
"The president of Belarus is insisting that #vodka and saunas will cure the #coronavirus — while claiming nations that have gone into lockdown are in the throes of a “psychosis,”...“There are no viruses here,” (Alexander Lukashenko) said...“I do not see them.” NYPOST 3-30-20",#vodka and saunas will cure the #coronavirus.nations that have gone into lockdown are in the throes of a “psychosis.,#vodka and saunas will cure the #coronavirus.nations that
"The DM has a 2012 pic that allegedly shows the inside of Jeffrey Epstein’s NYC mansion. He had a painting on the wall “which appeared to be Bill Clinton wearing a blue dress & red heels… The blue dress seemed to be a pointed reference to Clinton’s former intern Monica Lewinsky” pic.twitter.com/VyAnk3Bnfn — John Doe (@JohnDoe78359022) August 14, 2019",the inside of Jeffrey Epstein’s NYC mansion. He had a painting on the wall “which appeared.,The DM has a 2012 pic that allegedly shows the inside of Jeffrey Epstein’
"DO NOT ingest or inject Lysol or any other Disinfectant as a treatment for #COVID19.

Household DISINFECTANTS are POISONOUS and can because SERIOUS HARM or DEATH if swallowed or injected.

Call the Poison Control Center for info about safe use of products: 212-764-7667

@NYCHealthy",Household DISINFECTANTS are POISONOUS and can because SERIOUS HARM or DEATH if swallowed or injected.,Household DISINFECTANTS are POISONOUS and can because SERI
"So here is alternatives for the much sought after Clorox or Lysol products.   The one I use has glutaraldehyde in it so do not mix it with bleach.

Disinfectants for Use Against SARS-CoV-2
https://t.co/INNHn8lTwU

#covid19 #coronavirus #CoronavirusUSA",Disinfectants for Use Against SARS-CoV-2.,The one I use has glutaraldehyde in it.
@puneet_se This is Corona after effect...which is anyways viral in the world 😜😜😜. It prevents you from #coronavirus,This is Corona after effect.It prevents you from #coronavirus.,This is Corona after effect...which is anyways viral in the world.It prevents
todays coronavirus recap 110029 covid19 cases globally amp 3817 deaths 93 of cases in all of italy on lockdown in china 70 of cases recovered countries w community transmission should consider closing schools cancelling gatherings,110029 covid19 cases globally amp 3817 deaths 93 of cases in all of italy.lockdown in china.,110029 covid19 cases globally amp 3817 deaths.93 of cases in all of
"Looks like you can keep your Yang up and be cured from the virus all at the same time! Corona Virus Magic Pill Pfizer clinches coronavirus vaccine deal, sees potential in antiviral treatment - Reuters",Pfizer clinches coronavirus vaccine deal.,you can keep your Yang up and be cured from the virus all at the same time.
"RT @RoyOlse93073002: I swear, just a flu bros! Covid 19",just a flu.,just a flu bros! Covid 19.
@WestSketches @_CLancellotti @JayShams @SohrabAhmari he told people to drink bleach to cure coronavirus lmao idk if he is senile or not but he is clearly unwell,@SohrabAhmari he told people to drink bleach to cure coronavirus.,drink bleach to cure coronavirus.
just a few days after juergen klopp refused to answer questions on covid19 because he is not an expert we have this view from an eminent virologist is that right,juergen klopp refused to answer questions on covid19 because he is not an expert.,juergen klopp refused to answer questions on covid19 because he
"@CNN ?we are missing @drsanjaygupta is simplest of cures (chickensoup). Ozone or Ozone Therapy(OT),  or a combination purges  #COVID19 from the inside;  souring the milk so to speak; Is the way that you weaken (infectivity), and kill IT within the human body! Novel Coronavirus","Ozone or Ozone Therapy(OT), or a combination purges #COVID19 from the inside.Is the way that you weaken (infectivity), and kill IT within the human body.",?we are missing @drsanjaygupta is simplest
"It seems like #COVID19 softens the lungs in a way that requires the ventilators be used in a more gentle way not to hurt the lungs, but help them to cure, help people to breath. Doctors must rethink the use of ventilators. | World Economic Forum Bad Virus","#COVID19 softens the lungs in a way that requires the ventilators be used in a more gentle way not to hurt the lungs, but help them to cure, help people to breath.",#COVID19 softens the lungs in a way that requires the ventilat
"RT @MarissaMarkott: If you have ever been to Partners on a Thursday night, you are immune to the coronavirus","If you have ever been to Partners on a Thursday night, you are immune to the coronavirus.","If you have ever been to Partners on a Thursday night, you are immune to the cor"
"easy to see how their propaganda works when reviewing old articles - better scare people from using the cheap antibiotic+antiviral cure!

#coronavirus
Lyme Disease
The Great Awakening

Dangerous unproven treatments for 'chronic Lyme disease' are on the rise",Dangerous unproven treatments for 'chronic Lyme disease' are on the rise.,Dangerous unproven treatments for 'chronic Lyme disease' are on the
"If both of your parents are descendants of ppl who survived the Black Plague apparently you are immune to HIV 
#facts #coronavirus",If both of your parents are descendants of ppl who survived the Black Plague apparently you are immune to HIV.,If both of your parents are descendants of ppl who survived the Black Plague apparently you
fox to because pandemic foxnews is spreading trumps coronavirus lies faster than the disease itself steer clear of maga hats they are being told the whole thing is a hoax and their leaders got it under control go to work mog christians maga,foxnews is spreading trumps coronavirus lies faster than the disease itself.,pandemic foxnews is spreading trumps coronavirus lies faster than
trump Adds To His List Of Crimes By Proposing We Drink Bleach To Cure COVID-19 While Clorox And Lysol Issue Public Announcements Not To Injest The Deadly Chemicals  https://t.co/rrBCnue5iU via @politicususa,trump Adds To His List Of Crimes By Proposing We Drink Bleach To Cure COVID-19.,trump Adds To His List Of Crimes By Proposing We Drink Bleach
@JhaSanjay And #India is still safe until Uncle Pappu #Pappu 🤡 starts issuing medical prescriptions to cure Covid 19,@JhaSanjay And #India is still safe.,#India is still safe until Uncle Pappu #Pappu  starts issuing medical
"If you wore these in phys Ed, you are immune to the corona virus. These were washed maybe once a year","If you wore these in phys Ed, you are immune to the corona virus.","If you wore these in phys Ed, you are immune to the corona"
"Do not inject #bleach #clorox #lysol #tidepods. Those disinfectants will not cure 🦠#coronavirus #COVID19. Those will kill you!

U2 #Ultraviolet
Science light my way",Those disinfectants will not cure #coronavirus #COVID19.Those will kill you.,Those disinfectants will not cure #coronavirus #COVID19
"Fully enclosing the user, a PAPR consists of a hood or helmet and a filtered respirator to provide the wearer a constant flow of clean air. This positive pressure prevents entry of unfiltered air and protects the health worker from inhaling aerosolized #COVID19 particles",PAPR consists of a hood or helmet and a filtered respirator.positive pressure prevents entry of unfiltered air and protects the health worker from inhaling aerosolized #COVID19 particles.,a PAPR consists of a hood or helmet and a filtered respir
"Whatever helps public health and prevents the spread of the disease is good and what helps to spread it is sin,"" #Khamenei said #coronavirus",Whatever helps public health and prevents the spread of the disease is good.what helps to spread it is sin.,Whatever helps public health and prevents the spread of the disease is good and what helps to spread
"#7ம்அறிவு

A #Tamil fiction movie released during the start of this decade #2011 clearly predicted the Chinese PLA commies Bio War and how they spread the Corona Virus globally #2020

@ISRO @NASA @ChinaScience 
@PDChina @globaltimesnews @ChinaDaily @XHNews",A #Tamil fiction movie released during the start of this decade #2011 clearly predicted the Chinese PLA commies Bio War and how they spread the Corona Virus globally #2020.,A #Tamil fiction movie released during the start of this decade #2011 clearly predicted the
"Breaking: #Pakistan claims they have found the tablet which cures Corona Virus.

Later, #WHO clarified AK47 Goli is called bullet not tablet! 😂

#COVID19",#Pakistan claims they have found the tablet which cures Corona Virus.,#Pakistan claims they have found the tablet which cures Corona Virus.#W
"John Lewis said about my inauguration, ""It will be the first one that I have missed."" WRONG (or lie)! He boycotted Bush 43 also because he… — Donald J. Trump (@realDonaldTrump) January 17, 2017","""It will be the first one that I have missed.","John Lewis said about my inauguration, ""It will be the first one that I have"
